Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x250-300x250,3.0,1.354,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x250-400x200,1.0,0.47,0.0,"Flat on Right, Left, Top",,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x300-300x300,1.0,0.511,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x300-400x150,1.0,0.483,0.0,"Flat on Right, Left, Bottom",,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x350-250x200,1.0,0.471,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x350-250x350,1.0,0.54,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x350-800x150,1.0,0.679,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x400-300x400,1.0,0.632,0.0,"Flat on Top, Bottom, Right",,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,450x200-400x200,5.0,2.301,0.0,,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,450x250-250x250,3.0,1.368,0.0,"Flat on Top, Bottom, Left",,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,450x250-300x250,1.0,0.479,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,450x250-350x250,1.0,0.504,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x200-400x200,1.0,0.484,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x250-400x250,3.0,1.668,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x250-800x150,1.0,0.655,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x350-300x350,1.0,0.639,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x400-300x350,1.0,0.679,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x500-400x500,1.0,0.918,0.0,Flat on Top and Bottom,,
