,Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
57,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x650-350x650,3.0,0.000 m²,2.474 m²,,90.00°,0.75
58,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x700-350x700,4.0,0.000 m²,3.464 m²,,90.00°,0.75
59,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x150-400x150,1.0,0.000 m²,0.518 m²,,90.00°,0.75
60,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x200-400x200,8.0,0.000 m²,4.524 m²,,90.00°,0.75
61,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x250-400x250,4.0,0.000 m²,2.450 m²,,90.00°,0.75
62,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x300-400x300,2.0,0.000 m²,0.660 m²,,45.00°,0.75
63,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x300-400x300,2.0,0.000 m²,1.319 m²,,90.00°,0.75
64,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x400-400x400,1.0,0.000 m²,0.754 m²,,90.00°,0.75
65,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x500-400x500,3.0,0.000 m²,2.545 m²,,90.00°,0.75
66,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,450x200-450x200,1.0,0.000 m²,0.689 m²,,90.00°,0.75
67,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,450x250-450x250,2.0,0.000 m²,1.484 m²,,90.00°,0.75
68,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x150-500x150,1.0,0.000 m²,0.766 m²,,90.00°,0.75
69,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x250-500x250,3.0,0.000 m²,2.651 m²,,90.00°,0.75
70,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x300-500x300,1.0,0.000 m²,0.942 m²,,90.00°,0.75
71,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x350-500x350,3.0,0.000 m²,3.004 m²,,90.00°,0.75
72,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x400-500x400,3.0,0.000 m²,3.181 m²,,90.00°,0.75
73,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,550x150-550x150,1.0,0.000 m²,0.907 m²,,90.00°,0.75
74,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,550x250-550x250,1.0,0.000 m²,1.037 m²,,90.00°,0.75
75,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,550x400-550x400,4.0,0.000 m²,4.924 m²,,90.00°,0.75
76,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,650x350-650x350,3.0,0.000 m²,4.595 m²,,90.00°,0.75
